label,message
ham,"Hi, how are you today?"
ham,Are you coming to class tomorrow?
ham,Please send me the assignment file.
ham,I will call you after dinner.
ham,Your meeting is scheduled for 3 PM.
ham,Can you help me with this project?
ham,Don't forget to bring your lab notebook.
ham,Happy birthday! Have a great day.
ham,I am on my way home.
ham,Let's meet at the library at 10 AM.
ham,Please remind me about the exam.
ham,Thank you for your help.
ham,The class has been moved to room 305.
ham,I have submitted the assignment.
ham,What time will you arrive?
ham,Can you share today's notes?
ham,I am feeling better now.
ham,See you tomorrow morning.
ham,Please call me when you are free.
ham,The project presentation is next week.
ham,Your food is ready.
ham,I will meet you after the class.
ham,Could you send me the lecture slides?
ham,We have a lab exam on Thursday.
ham,Good luck for your exam.
ham,I reached the university safely.
ham,Please check your email.
ham,Let's work on the project together.
ham,The teacher asked us to submit the report.
ham,I will be late by ten minutes.
spam,Congratulations! You have won a FREE iPhone. Click now!
spam,URGENT! You have won $5000. Claim your prize today.
spam,Get a FREE gift card by clicking this link now.
spam,You are selected as a lucky winner! Claim your reward.
spam,Win cash prizes instantly. Send your details now.
spam,Exclusive offer! Get 90% discount today only.
spam,Congratulations! Your number has won a lottery prize.
spam,FREE entry! You could win a brand new car.
spam,Claim your free vacation package now.
spam,You have received a special bonus. Click to collect.
spam,Limited time offer! Buy now and save 80%.
spam,Win a free smartphone by registering today.
spam,You are our lucky customer. Claim your free reward.
spam,Earn money from home. Register now for FREE.
spam,Special promotion! Get your cash reward today.
spam,Act now! Your exclusive prize is waiting.
spam,You have been chosen for a $1000 cash reward.
spam,FREE membership available. Click the link to join.
spam,Congratulations! Claim your bonus before it expires.
spam,Get rich quickly with this amazing opportunity.
spam,You won a FREE ticket. Reply YES to claim.
spam,Hot deal! Get premium products at 95% discount.
spam,Your reward is ready. Verify your account now.
spam,Lucky winner alert! Claim your prize immediately.
spam,FREE money waiting for you. Click here now.
spam,Special lottery notification: You are a winner.
spam,Earn $500 daily from home. Join now.
spam,Exclusive deal ends today. Buy now!
spam,Congratulations! You qualify for a free gift.
